Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-November-2014,1905.00,1936.50,1895.30,1931.70,1923.053107882829245058,16796,2551,32299600.00,7855,46.77,41.20,26.70
21-November-2014,1925.05,1959.70,1887.75,1894.05,1926.886306846576711644,28014,3164,53979793.00,16019,57.18,71.95,-31.00
20-November-2014,1930.10,1946.75,1912.50,1924.45,1928.159065123666893578,8814,1566,16994794.00,2496,28.32,34.25,-5.65
19-November-2014,1951.00,1954.70,1923.90,1938.50,1933.903891509433962264,13568,2527,26239208.00,5780,42.60,30.80,-12.50
18-November-2014,1958.60,1985.00,1952.55,1954.35,1961.624140127388535031,15700,1746,30797499.00,6655,42.39,32.45,-4.25
17-November-2014,1991.65,2005.00,1941.60,1946.90,1963.657718682053855159,11958,1879,23481419.00,3942,32.97,63.40,-44.75
14-November-2014,2007.45,2050.00,1952.70,1979.65,1997.439862995652746673,68319,6951,136463094.00,40434,59.18,97.30,-27.80
13-November-2014,1889.90,2010.00,1889.90,1989.70,1950.476398080481761440,31883,4656,62187039.00,10093,31.66,120.10,99.80
12-November-2014,1855.00,1900.00,1840.00,1889.90,1874.967813842222584678,18393,2589,34486283.00,7799,42.40,60.00,34.90
11-November-2014,1869.00,1896.00,1842.00,1852.40,1862.335042735042735042,10530,2042,19610388.00,2252,21.39,54.00,-16.60
10-November-2014,1780.00,1877.85,1780.00,1869.80,1839.891274750068074843,51414,7500,94596170.00,17769,34.56,97.85,89.80
7-November-2014,1721.50,1795.25,1721.50,1775.60,1766.300645055932064995,36741,5943,64895652.00,13371,36.39,73.75,54.10
5-November-2014,1710.00,1753.00,1705.00,1714.35,1728.334978936282253817,30384,4633,52513730.00,10781,35.48,48.00,4.35
3-November-2014,1697.90,1708.90,1685.00,1691.15,1691.206594323873121869,28752,2130,48625572.00,22460,78.12,23.90,-6.75
31-October-2014,1690.70,1715.25,1686.00,1692.50,1700.518097044412833886,6327,1093,10759178.00,3626,57.31,29.25,1.80
30-October-2014,1683.85,1700.00,1680.00,1689.50,1690.768029739776951672,6725,1322,11370415.00,3980,59.18,20.00,5.65
29-October-2014,1700.00,1715.90,1680.25,1685.05,1690.646114699549814053,10218,1455,17275022.00,5244,51.32,35.65,-14.95
28-October-2014,1725.00,1725.00,1692.60,1694.85,1701.201241885407846457,7086,1165,12054712.00,4354,61.45,32.40,-30.15
27-October-2014,1728.00,1740.00,1715.00,1724.65,1728.860663082437275985,6696,1284,11576451.00,1464,21.86,25.00,-3.35
